numero_de_cliente	foto_mes	active_quarter	cliente_vip	internet	cliente_edad	cliente_antiguedad	mrentabilidad	mrentabilidad_annual	mcomisiones	mactivos_margen	mpasivos_margen	cproductos	tcuentas	ccuenta_corriente	mcuenta_corriente_adicional	mcuenta_corriente	ccaja_ahorro	mcaja_ahorro	mcaja_ahorro_adicional	mcaja_ahorro_dolares	cdescubierto_preacordado	mcuentas_saldo	ctarjeta_debito	ctarjeta_debito_transacciones	mautoservicio	ctarjeta_visa	ctarjeta_visa_transacciones	mtarjeta_visa_consumo	ctarjeta_master	ctarjeta_master_transacciones	mtarjeta_master_consumo	cprestamos_personales	mprestamos_personales	cprestamos_prendarios	mprestamos_prendarios	cprestamos_hipotecarios	mprestamos_hipotecarios	cplazo_fijo	mplazo_fijo_dolares	mplazo_fijo_pesos	cinversion1	minversion1_pesos	minversion1_dolares	cinversion2	minversion2	cseguro_vida	cseguro_auto	cseguro_vivienda	cseguro_accidentes_personales	ccaja_seguridad	cpayroll_trx	mpayroll	mpayroll2	cpayroll2_trx	ccuenta_debitos_automaticos	mcuenta_debitos_automaticos	ctarjeta_visa_debitos_automaticos	mttarjeta_visa_debitos_automaticos	ctarjeta_master_debitos_automaticos	mttarjeta_master_debitos_automaticos	cpagodeservicios	mpagodeservicios	cpagomiscuentas	mpagomiscuentas	ccajeros_propios_descuentos	mcajeros_propios_descuentos	ctarjeta_visa_descuentos	mtarjeta_visa_descuentos	ctarjeta_master_descuentos	mtarjeta_master_descuentos	ccomisiones_mantenimiento	mcomisiones_mantenimiento	ccomisiones_otras	mcomisiones_otras	cforex	cforex_buy	mforex_buy	cforex_sell	mforex_sell	ctransferencias_recibidas	mtransferencias_recibidas	ctransferencias_emitidas	mtransferencias_emitidas	cextraccion_autoservicio	mextraccion_autoservicio	ccheques_depositados	mcheques_depositados	ccheques_emitidos	mcheques_emitidos	ccheques_depositados_rechazados	mcheques_depositados_rechazados	ccheques_emitidos_rechazados	mcheques_emitidos_rechazados	tcallcenter	ccallcenter_transacciones	thomebanking	chomebanking_transacciones	ccajas_transacciones	ccajas_consultas	ccajas_depositos	ccajas_extracciones	ccajas_otras	catm_trx	matm	catm_trx_other	matm_other	ctrx_quarter	tmobile_app	cmobile_app_trx	Master_delinquency	Master_status	Master_mfinanciacion_limite	Master_Fvencimiento	Master_Finiciomora	Master_msaldototal	Master_msaldopesos	Master_msaldodolares	Master_mconsumospesos	Master_mconsumosdolares	Master_mlimitecompra	Master_madelantopesos	Master_madelantodolares	Master_fultimo_cierre	Master_mpagado	Master_mpagospesos	Master_mpagosdolares	Master_fechaalta	Master_mconsumototal	Master_cconsumos	Master_cadelantosefectivo	Master_mpagominimo	Visa_delinquency	Visa_status	Visa_mfinanciacion_limite	Visa_Fvencimiento	Visa_Finiciomora	Visa_msaldototal	Visa_msaldopesos	Visa_msaldodolares	Visa_mconsumospesos	Visa_mconsumosdolares	Visa_mlimitecompra	Visa_madelantopesos	Visa_madelantodolares	Visa_fultimo_cierre	Visa_mpagado	Visa_mpagospesos	Visa_mpagosdolares	Visa_fechaalta	Visa_mconsumototal	Visa_cconsumos	Visa_cadelantosefectivo	Visa_mpagominimo	clase_ternaria	pos	cluster2
31267709	202008	1	0	1	60	254	958.21	18651.77	321.33	542.95	0	9	1	1	0	-22894.74	2	0	0	0	0	-25352.61	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	303.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1364.94	4	321.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0																							0	0	63342	-1916		0	0	0			70380			5	0			284				0	BAJA+2	1	1
31273443	202006	0	0	0	40	12	0	0	0	0	0	7	1	1	0	-293.35	2	1275.43	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	9474.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1364.94	0	0	0	0	0	0	0	2	13254.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	76010.4	-1522		0	0	0			84456			-1	0			316				0	0	0	101347.2	-1887		0	0	0			112608			-1	0			316				0	BAJA+2	1	1
31278763	202102	1	0	0	55	374	2197.55	7104.05	78.18	0	1806.8	8	1	1	0	0	4	1093.47	0	2215613.64	1	2965827.56	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	70.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	78.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	202694.4	-1491		0	0	0			225216			18	0			6200				0	0	0	202694.4	-1705		0	0	0			225216			4	0			8169				0	BAJA+2	1	1
31282207	202101	0	0	0	44	292	-2313.8	-3919.05	1225.04	-3016.92	0	4	1	1	0	-5549.53	2	0	0	1.02	0	-7052.35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1364.94	2	1225.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																													BAJA+2	1	2
31296666	202009	1	0	0	67	299	503.79	9702.55	275.78	193.05	1.33	10	1	1	0	-6649.27	2	0	0	0	1	-7322.17	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	93.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	275.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	63342	-607		0	0	0			70380			0	0			3438				0	0	0	63342	-211		-70	-82.11	0			70380			7	0			4175				0	BAJA+2	1	6
31303624	202103	1	0	1	46	118	1598.48	6822.74	1676.17	-69.22	2.99	4	1	1	0	-2615.81	2	0	0	0	1	-4707.69	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1774.04	4	1676.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0																																													BAJA+2	1	4
31328871	202012	1	0	0	83	292	746.95	17072.14	1501.8	-2113.46	1469.94	9	1	1	0	0	5	18083.24	16111.99	0	1	31101.97	3	7	15133.94	1	44	45477.04	1	1	2409.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3519	0	0	1	2040.41	2	314.36	0	0	0	0	5	7053.95	0	0	0	0	0	0	2	804.95	11	1501.8	0	0	0	0	0	3	92784.3	2	25336.8	6	96186	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	4	78591	2	17595	141	0	1	0	0	780832.18	-760		2411.93	2411.93	0	0	0	867591.32	0	0	1	2411.93	-2411.93	0	5470	0	0	0	234.6	0	0	762133.79	-1338		37914	44473.12	0	7632.53	0	846815.32	0	0	22	44473.12	-60265.17	0	7459	7632.53	6	0	2979.42	BAJA+2	1	7
31334625	202009	1	0	0	65	255	1353.31	6542.41	1225.04	109.35	0	6	1	1	0	-3761.84	2	0	0	50.93	1	-5302.35	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1364.94	2	1225.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	76010.4	-1460		0	0	0			84456			0	0			371				0	0	0	76010.4	-181		0	0	0			84456			0	0			4935				0	BAJA+2	1	6
31351887	202105	1	0	0	74	324	-10548.12	-41043.44	3364.32	-13282.66	1422.09	7	1	1	0	0	2	56972.95	0	532	1	83086.49	6	0	0	1	15	52785.51	1	7	49245.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11070.64	4	11611.23	0	0	0	0	0	0	0	0	0	0	1	2505.95	8	3364.32	0	0	0	0	0	2	105570	4	33658.49	0	0	0	0	0	0	0	0	0	0	0	0	1	211	0	0	0	0	0	0	0	0	0	106	0	0	0	0	304041.6	-1125		49836.33	49836.33	0	40781.1	0	337824	0	0	26	49836.33	-49245.68	0	7663	40781.1	6	0	3061.53	0	0	253368	-1034		46449.79	52808.65	1676.94	35290.47	17.58	281520	0	0	12	54588.1	-59906.96	17.79	9224	35290.47	12	0	11366.37	BAJA+2	1	7
31384151	202011	1	0	0	65	211	1270.55	99383.44	1204.3	7.34	49.14	7	1	1	0	-311.94	2	2940.75	0	0	1	-881.79	1	4	19027.36	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	938.4	0	0	0	0	0	0	1	1202.07	6	1204.3	0	0	0	0	0	1	6451.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	55	0	0	0	0	126684	-1581		0	0	0			140760			5	0			258				0	0	0	126684	-1946		0	0	0			140760			5	0			258				0	BAJA+2	1	1
31406150	202012	1	0	0	69	295	1570.86	11738.48	1567.49	-1139.4	1142.28	10	1	1	0	-17344.89	2	37560.87	0	0	1	51586.18	5	0	0	1	24	48674.69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	11273.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1567.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	46	0	0	0	0	624586.79	-729		-35.11	-35.11	0			694073.06			1	0			4741				0	0	0	624586.79	-395		11159.89	13090.55	0	11273.93	0	694073.06	0	0	1	35190	-35190	0	4741	11273.93	3	0	0	BAJA+2	1	3
31426560	202008	1	0	1	63	308	1395.01	18697.18	717.67	-101.6	679.04	9	1	1	0	-9.5	2	13673.91	0	0	1	3449.64	4	0	0	1	18	16346.91	1	1	3489.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	38.31	1	170.58	0	0	0	0	2	8725.39	0	0	0	0	0	0	1	682.47	8	717.67	0	0	0	0	0	2	24633	1	11730	0	0	0	0	0	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	101	1	27	0	0	88678.8	-1794		1143.51	1143.51	0	0	0	98532	0	0	12	1143.51	-3495.18	0	4788	0	0	0	0	0	0	126684	-882		66750.97	78298.88	0	501.97	0	140760	0	0	5	0	-27483.48	0	9374	501.97	2	0	63553.14	BAJA+2	1	3
31427291	202011	1	0	0	62	284	1022.63	20996.4	1028.93	-29.42	24.05	5	1	1	0	-245.26	2	1541.41	0	136279.49	1	137752.97	1	0	0	0	0	0	0	0	0	1	3426.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1202.07	6	1028.93	0	0	0	0	0	2	6099.6	1	31737.5	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	29	0	1																																													BAJA+2	1	2
31449517	202101	1	0	0	71	262	1248.52	17804.4	1823.18	6.85	-496.75	7	1	1	0	-1246.92	2	319.25	0	100.35	1	-1793.79	1	0	0	1	1	1759.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1928.17	6	1823.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	19	0	0	0	0	999959.04	-545		0	0	0			1111065.6			11	0			5673				0	0	0	1399942.65	-545		1515	1777.09	0	1759.5	0	1555491.84	0	0	11	1777.09	-2250.51	0	5673	1759.5	1	0	82.11	BAJA+2	1	3
31494512	202007	0	0	1	54	6	0	0	0	0	0	7	2	1	0	0	2	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253368	-1672		0	0	0			281520			2	0			165				0	0	0	253368	-2037		0	0	0			281520			2	0			165				0	BAJA+2	1	1
31495401	202105	1	0	0	60	209	-79.41	14920.54	2469.09	-3108.88	936.24	7	1	1	0	0	4	60588.32	0	36.65	1	22850.09	1	0	0	1	10	34804.7	1	6	13370.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9455.67	5	1679.18	0	0	1	1359.74	0	0	0	0	0	0	1	2505.95	10	2469.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	1	3	0	1	0	0	0	0	0	55	1	0	0	0	709430.4	-425		13530.54	13530.54	0	1679.18	0	788256	0	0	26	13530.54	-2168.25	0	5808	1679.18	5	0	692.07	0	0	999959.04	-364		30280.06	35518.51	0	10732.8	4.8	1111065.6	0	0	12	11157.83	-35518.51	0	5863	10732.8	7	0	3777.06	BAJA+2	1	7
31497809	202010	1	0	0	76	317	-109.67	19803.55	393.03	-295.62	-132.95	6	1	1	0	-6.19	2	32232.43	0	0	1	64927.95	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	175950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9406.79	1	1441.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	393.03	0	0	0	0	0	0	0	1	2086.18	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	42	0	1	0	9	354715.2	-606		25208.56	25208.56	0	23414.15	0	394128	0	0	17	25208.56	-3467.95	0	7436	23414.15	4	0	1548.36	0	9	506736	-1490		4812	5644.47	0	1441.61	0	563040	0	0	3	0	-1924.89	0	8753	1441.61	1	0	222.87	BAJA+2	1	3
31518298	202012	1	0	0	56	12	26.39	1043.04	119.98	-198.2	118.41	7	1	1	0	0	2	67.56	0	0	1	67.85	1	0	0	1	11	4950.5	1	10	5611.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	0	4	119.98	0	0	0	0	0	0	0	1	3519	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	49	0	1	0	0	202694.4	-1491		5614.92	5614.92	0	5142.45	0	225216	0	0	1	4809.3	-4809.3	0	346	5142.45	8	0	222.87	0	0	202694.4	-1856		4161.7	4881.67	0	2285.22	0	225216	0	0	1	4692	-4692	0	346	2285.22	4	0	129.03	BAJA+2	1	3
31520331	202103	1	0	0	53	292	126.93	287.85	64.44	-96.83	150.1	7	1	1	0	0	2	35295.98	0	466.12	1	35121.64	2	0	0	1	2	3588.47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1279.02	1	2878.64	0	0	0	0	4	15139.75	0	0	0	0	0	0	0	0	4	64.44	0	0	0	0	0	1	25996.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	35	0	0	0	0	729069.51	-547		0	0	0			810101.22			1	0			4959				0	0	0	729069.51	-578		3059.23	3588.47	0	3588.47	0	810101.22	0	0	1	0	-3429.98	0	7827	3588.47	2	0	140.76	BAJA+2	1	3
31526085	202007	1	0	0	84	314	1798.1	54882.82	1655.85	-186.47	307.74	5	1	1	0	0	2	8294.74	0	246.84	0	2536.92	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4128.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1928.17	7	1655.85	0	0	0	0	0	0	0	0	0	1	2346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2346	0	0	22	0	0																																													BAJA+2	1	2
31551292	202012	1	0	0	50	92	2169.31	2149.62	1389.78	374.16	290.4	6	1	1	0	-2744.17	4	7043.27	0	0	1	69803.36	1	9	9735.98	1	14	25335.27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	219.12	1	3367.68	0	0	0	0	12	26179.35	0	0	0	0	0	0	1	1364.94	12	1389.78	0	0	0	0	0	5	97778.91	7	36489.66	5	16422	0	0	0	0	0	0	0	0	0	0	1	135	0	0	0	0	0	0	0	5	16422	133	0	0	0	0	177357.6	-1368		-61.61	-61.61	0			197064			1	0			2683				0	0	0	405388.8	-1307		44350.5	52023.13	0	9174.03	0	450432	0	0	1	103699.88	-41993.4	0	1988	9174.03	4	0	9735.9	BAJA+2	1	7
